Year,Type,Number
2015,Cars,75.553
2015,Trucks,25.534
2015,Trailers,15.319
2015,Motorcycles,2.817
2014,Cars,73.838
2014,Trucks,25.027
2014,Trailers,14.957
2014,Motorcycles,2.668
2013,Cars,73.547
2013,Trucks,24.477
2013,Trailers,14.694
2013,Motorcycles,2.725
2012,Cars,71.836
2012,Trucks,24.357
2012,Trailers,14.228
2012,Motorcycles,2.651
2011,Cars,71.193
2011,Trucks,23.987
2011,Trailers,13.438
2011,Motorcycles,2.594
2010,Cars,70.375
2010,Trucks,23.791
2010,Trailers,12.917
2010,Motorcycles,2.461
2009,Cars,69.617
2009,Trucks,23.417
2009,Trailers,12.363
2009,Motorcycles,2.624
2008,Cars,67.537
2008,Trucks,22.521
2008,Trailers,11.955
2008,Motorcycles,2.142
2007,Cars,66.107
2007,Trucks,22.351
2007,Trailers,11.523
2007,Motorcycles,1.792
2006,Cars,68.572
2006,Trucks,23.763
2006,Trailers,11.406
2006,Motorcycles,2.075
2005,Cars,63.963
2005,Trucks,22.085
2005,Trailers,10.64
2005,Motorcycles,1.523
2004,Cars,63.663
2004,Trucks,22.636
2004,Trailers,10.102
2004,Motorcycles,1.254
2003,Cars,63.013
2003,Trucks,21.581
2003,Trailers,9.735
2003,Motorcycles,1.103
2002,Cars,62.922
2002,Trucks,21.66
2002,Trailers,9.672
2002,Motorcycles,0.976
2001,Cars,63.46
2001,Trucks,22.502
2001,Trailers,9.458
2001,Motorcycles,1.114
2000,Cars,60.75
2000,Trucks,21.609
2000,Trailers,8.83
2000,Motorcycles,0.738
1999,Cars,60.343
1999,Trucks,22.363
1999,Trailers,0.0
1999,Motorcycles,0.861
1998,Cars,57.505
1998,Trucks,25.486
1998,Trailers,0.0
1998,Motorcycles,0.743
1997,Cars,65.866
1997,Trucks,24.777
1997,Trailers,0.0
1997,Motorcycles,1.388
1996,Cars,65.214
1996,Trucks,24.532
1996,Trailers,0.0
1996,Motorcycles,1.375
1995,Cars,65.873
1995,Trucks,24.532
1995,Trailers,0.0
1995,Motorcycles,1.389
1994,Cars,65.221
1994,Trucks,24.29
1994,Trailers,0.0
1994,Motorcycles,1.374
1993,Cars,56.253
1993,Trucks,21.11
1993,Trailers,0.0
1993,Motorcycles,0.908
1992,Cars,55.732
1992,Trucks,21.22
1992,Trailers,0.0
1992,Motorcycles,0.933
1991,Cars,55.354
1991,Trucks,20.385
1991,Trailers,0.0
1991,Motorcycles,0.962
1990,Cars,58.604
1990,Trucks,27.04
1990,Trailers,0.0
1990,Motorcycles,1.691
1989,Cars,63.947
1989,Trucks,20.048
1989,Trailers,0.0
1989,Motorcycles,1.774
1988,Cars,61.983
1988,Trucks,20.321
1988,Trailers,0.0
1988,Motorcycles,2.053
1987,Cars,60.169
1987,Trucks,19.159
1987,Trailers,0.0
1987,Motorcycles,2.119
1986,Cars,56.224
1986,Trucks,20.387
1986,Trailers,0.0
1986,Motorcycles,2.003
1985,Cars,54.533
1985,Trucks,19.289
1985,Trailers,0.0
1985,Motorcycles,2.141
1984,Cars,52.538
1984,Trucks,18.904
1984,Trailers,0.0
1984,Motorcycles,2.153
1983,Cars,50.521
1983,Trucks,17.975
1983,Trailers,0.0
1983,Motorcycles,2.197
1982,Cars,48.177
1982,Trucks,17.267
1982,Trailers,0.0
1982,Motorcycles,2.011
1981,Cars,48.564
1981,Trucks,17.266
1981,Trailers,0.0
1981,Motorcycles,1.801
1980,Cars,47.608
1980,Trucks,18.992
1980,Trailers,0.0
1980,Motorcycles,1.644
1979,Cars,47.632
1979,Trucks,18.498
1979,Trailers,0.0
1979,Motorcycles,1.734
1978,Cars,46.413
1978,Trucks,16.887
1978,Trailers,0.0
1978,Motorcycles,1.677
1977,Cars,44.106
1977,Trucks,15.044
1977,Trailers,0.0
1977,Motorcycles,1.527
1976,Cars,42.015
1976,Trucks,13.7
1976,Trailers,0.0
1976,Motorcycles,1.39
1975,Cars,40.661
1975,Trucks,12.721
1975,Trailers,0.0
1975,Motorcycles,1.662
1974,Cars,39.43
1974,Trucks,11.685
1974,Trailers,0.0
1974,Motorcycles,1.442
1973,Cars,37.014
1973,Trucks,10.37
1973,Trailers,0.0
1973,Motorcycles,1.075
1972,Cars,34.231
1972,Trucks,9.796
1972,Trailers,0.0
1972,Motorcycles,0.806
1971,Cars,32.251
1971,Trucks,9.2
1971,Trailers,0.0
1971,Motorcycles,0.703
1970,Cars,30.376
1970,Trucks,8.691
1970,Trailers,0.0
1970,Motorcycles,0.693
1969,Cars,29.229
1969,Trucks,8.544
1969,Trailers,0.0
1969,Motorcycles,0.652
1968,Cars,27.695
1968,Trucks,8.398
1968,Trailers,0.0
1968,Motorcycles,0.679
1967,Cars,27.634
1967,Trucks,8.299
1967,Trailers,0.0
1967,Motorcycles,0.631
1966,Cars,26.889
1966,Trucks,8.14
1966,Trailers,0.0
1966,Motorcycles,0.46
1965,Cars,25.796
1965,Trucks,7.843
1965,Trailers,0.0
1965,Motorcycles,0.2
1964,Cars,24.323
1964,Trucks,7.379
1964,Trailers,0.0
1964,Motorcycles,0.142
1963,Cars,23.328
1963,Trucks,7.46
1963,Trailers,0.0
1963,Motorcycles,0.117
1962,Cars,22.092
1962,Trucks,8.095
1962,Trailers,0.0
1962,Motorcycles,0.137
1961,Cars,20.44
1961,Trucks,8.056
1961,Trailers,0.0
1961,Motorcycles,0.111
1960,Cars,19.17
1960,Trucks,8.009
1960,Trailers,0.0
1960,Motorcycles,0.127
1959,Cars,17.408
1959,Trucks,9.975
1959,Trailers,0.0
1959,Motorcycles,0.119
1958,Cars,15.86
1958,Trucks,9.527
1958,Trailers,0.0
1958,Motorcycles,0.117
1957,Cars,14.595
1957,Trucks,9.004
1957,Trailers,0.0
1957,Motorcycles,0.126
1956,Cars,14.163
1956,Trucks,9.062
1956,Trailers,0.0
1956,Motorcycles,0.148
1955,Cars,13.436
1955,Trucks,8.576
1955,Trailers,0.0
1955,Motorcycles,0.133
1954,Cars,12.551
1954,Trucks,8.157
1954,Trailers,0.0
1954,Motorcycles,0.14
1953,Cars,12.218
1953,Trucks,7.947
1953,Trailers,0.0
1953,Motorcycles,0.121
1952,Cars,11.667
1952,Trucks,6.95
1952,Trailers,0.0
1952,Motorcycles,0.1
1951,Cars,11.176
1951,Trucks,5.636
1951,Trailers,0.0
1951,Motorcycles,0.084
1950,Cars,10.392
1950,Trucks,4.91
1950,Trailers,0.0
1950,Motorcycles,0.081
1949,Cars,9.086
1949,Trucks,4.074
1949,Trailers,0.0
1949,Motorcycles,0.051
1948,Cars,8.297
1948,Trucks,2.945
1948,Trailers,0.0
1948,Motorcycles,0.048
1947,Cars,7.559
1947,Trucks,2.352
1947,Trailers,0.0
1947,Motorcycles,0.037
1946,Cars,7.134
1946,Trucks,2.013
1946,Trailers,0.0
1946,Motorcycles,0.045
1945,Cars,6.744
1945,Trucks,2.051
1945,Trailers,0.0
1945,Motorcycles,0.04
1944,Cars,6.833
1944,Trucks,1.539
1944,Trailers,0.0
1944,Motorcycles,0.04
1943,Cars,6.67
1943,Trucks,1.334
1943,Trailers,0.0
1943,Motorcycles,0.028
1942,Cars,6.268
1942,Trucks,1.236
1942,Trailers,0.0
1942,Motorcycles,0.033
1941,Cars,6.773
1941,Trucks,1.226
1941,Trailers,0.0
1941,Motorcycles,0.016
1940,Cars,6.824
1940,Trucks,1.223
1940,Trailers,0.0
1940,Motorcycles,0.023
1939,Cars,6.804
1939,Trucks,1.218
1939,Trailers,0.0
1939,Motorcycles,0.018
1938,Cars,6.84
1938,Trucks,1.13
1938,Trailers,0.0
1938,Motorcycles,0.022
1937,Cars,6.993
1937,Trucks,0.997
