School,Year,Level,Size
ABC,1999,K,83
ABC,1999,Grade 1,42
ABC,1999,Grade 2,14
ABC,1999,Grade 3,17
ABC,1999,Grade 4,32
ABC,1999,Grade 5,100
ABC,1999,Grade 6,80
ABC,1999,Grade 7,105
ABC,1999,Grade 8,73
ABC,1999,Grade 9,75
ABC,1999,Grade 10,89
ABC,1999,Grade 11,94
ABC,1999,Grade 12,10
ABC,2000,K,68
ABC,2000,Grade 1,56
ABC,2000,Grade 2,37
ABC,2000,Grade 3,28
ABC,2000,Grade 4,40
ABC,2000,Grade 5,103
ABC,2000,Grade 6,86
ABC,2000,Grade 7,105
ABC,2000,Grade 8,96
ABC,2000,Grade 9,42
ABC,2000,Grade 10,38
ABC,2000,Grade 11,76
ABC,2000,Grade 12,54
ABC,2001,K,103
ABC,2001,Grade 1,68
ABC,2001,Grade 2,14
ABC,2001,Grade 3,86
ABC,2001,Grade 4,79
ABC,2001,Grade 5,60
ABC,2001,Grade 6,64
ABC,2001,Grade 7,10
ABC,2001,Grade 8,59
ABC,2001,Grade 9,88
ABC,2001,Grade 10,89
ABC,2001,Grade 11,71
ABC,2001,Grade 12,12
ABC,2002,K,43
ABC,2002,Grade 1,61
ABC,2002,Grade 2,92
ABC,2002,Grade 3,81
ABC,2002,Grade 4,54
ABC,2002,Grade 5,24
ABC,2002,Grade 6,56
ABC,2002,Grade 7,66
ABC,2002,Grade 8,89
ABC,2002,Grade 9,100
ABC,2002,Grade 10,84
ABC,2002,Grade 11,94
ABC,2002,Grade 12,28
ABC,2003,K,69
ABC,2003,Grade 1,47
ABC,2003,Grade 2,19
ABC,2003,Grade 3,92
ABC,2003,Grade 4,99
ABC,2003,Grade 5,31
ABC,2003,Grade 6,67
ABC,2003,Grade 7,78
ABC,2003,Grade 8,28
ABC,2003,Grade 9,101
ABC,2003,Grade 10,15
ABC,2003,Grade 11,71
ABC,2003,Grade 12,33
ABC,2004,K,31
ABC,2004,Grade 1,34
ABC,2004,Grade 2,29
ABC,2004,Grade 3,78
ABC,2004,Grade 4,58
ABC,2004,Grade 5,79
ABC,2004,Grade 6,42
ABC,2004,Grade 7,61
ABC,2004,Grade 8,24
ABC,2004,Grade 9,101
ABC,2004,Grade 10,87
ABC,2004,Grade 11,42
ABC,2004,Grade 12,45
ABC,2005,K,97
ABC,2005,Grade 1,108
ABC,2005,Grade 2,66
ABC,2005,Grade 3,75
ABC,2005,Grade 4,15
ABC,2005,Grade 5,55
ABC,2005,Grade 6,32
ABC,2005,Grade 7,103
ABC,2005,Grade 8,10
ABC,2005,Grade 9,78
ABC,2005,Grade 10,73
ABC,2005,Grade 11,75
ABC,2005,Grade 12,88
ABC,2006,K,95
ABC,2006,Grade 1,36
ABC,2006,Grade 2,37
ABC,2006,Grade 3,13
ABC,2006,Grade 4,67
ABC,2006,Grade 5,37
ABC,2006,Grade 6,102
ABC,2006,Grade 7,25
ABC,2006,Grade 8,30
ABC,2006,Grade 9,79
ABC,2006,Grade 10,40
ABC,2006,Grade 11,50
ABC,2006,Grade 12,103
ABC,2007,K,65
ABC,2007,Grade 1,93
ABC,2007,Grade 2,101
ABC,2007,Grade 3,32
ABC,2007,Grade 4,26
ABC,2007,Grade 5,38
ABC,2007,Grade 6,20
ABC,2007,Grade 7,82
ABC,2007,Grade 8,57
ABC,2007,Grade 9,69
ABC,2007,Grade 10,101
ABC,2007,Grade 11,43
ABC,2007,Grade 12,96
ABC,2008,K,68
ABC,2008,Grade 1,106
ABC,2008,Grade 2,15
ABC,2008,Grade 3,77
ABC,2008,Grade 4,71
ABC,2008,Grade 5,59
ABC,2008,Grade 6,65
ABC,2008,Grade 7,12
ABC,2008,Grade 8,100
ABC,2008,Grade 9,42
ABC,2008,Grade 10,67
ABC,2008,Grade 11,44
ABC,2008,Grade 12,77
ABC,2009,K,42
ABC,2009,Grade 1,103
ABC,2009,Grade 2,36
ABC,2009,Grade 3,26
ABC,2009,Grade 4,88
ABC,2009,Grade 5,98
ABC,2009,Grade 6,70
ABC,2009,Grade 7,81
ABC,2009,Grade 8,85
ABC,2009,Grade 9,33
ABC,2009,Grade 10,74
ABC,2009,Grade 11,108
ABC,2009,Grade 12,88
ABC,2010,K,70
ABC,2010,Grade 1,46
ABC,2010,Grade 2,42
ABC,2010,Grade 3,99
ABC,2010,Grade 4,88
ABC,2010,Grade 5,39
ABC,2010,Grade 6,23
ABC,2010,Grade 7,19
ABC,2010,Grade 8,76
ABC,2010,Grade 9,76
ABC,2010,Grade 10,55
ABC,2010,Grade 11,57
ABC,2010,Grade 12,90
ABC,2011,K,70
ABC,2011,Grade 1,77
ABC,2011,Grade 2,21
ABC,2011,Grade 3,24
ABC,2011,Grade 4,47
ABC,2011,Grade 5,89
ABC,2011,Grade 6,43
ABC,2011,Grade 7,26
ABC,2011,Grade 8,57
ABC,2011,Grade 9,47
ABC,2011,Grade 10,105
ABC,2011,Grade 11,34
ABC,2011,Grade 12,80
ABC,2012,K,38
ABC,2012,Grade 1,16
ABC,2012,Grade 2,102
ABC,2012,Grade 3,92
ABC,2012,Grade 4,46
ABC,2012,Grade 5,95
ABC,2012,Grade 6,85
ABC,2012,Grade 7,52
ABC,2012,Grade 8,58
ABC,2012,Grade 9,66
ABC,2012,Grade 10,58
ABC,2012,Grade 11,39
ABC,2012,Grade 12,63
ABC,2013,K,29
ABC,2013,Grade 1,45
ABC,2013,Grade 2,93
ABC,2013,Grade 3,66
ABC,2013,Grade 4,51
ABC,2013,Grade 5,49
ABC,2013,Grade 6,24
ABC,2013,Grade 7,41
ABC,2013,Grade 8,47
ABC,2013,Grade 9,38
ABC,2013,Grade 10,74
ABC,2013,Grade 11,42
ABC,2013,Grade 12,101
ABC,2014,K,12
ABC,2014,Grade 1,86
ABC,2014,Grade 2,51
ABC,2014,Grade 3,58
ABC,2014,Grade 4,60
ABC,2014,Grade 5,94
ABC,2014,Grade 6,90
ABC,2014,Grade 7,19
ABC,2014,Grade 8,20
ABC,2014,Grade 9,107
ABC,2014,Grade 10,100
ABC,2014,Grade 11,75
ABC,2014,Grade 12,102
ABC,2015,K,56
ABC,2015,Grade 1,49
ABC,2015,Grade 2,66
ABC,2015,Grade 3,58
ABC,2015,Grade 4,38
ABC,2015,Grade 5,81
ABC,2015,Grade 6,77
ABC,2015,Grade 7,81
ABC,2015,Grade 8,85
ABC,2015,Grade 9,18
ABC,2015,Grade 10,16
ABC,2015,Grade 11,38
ABC,2015,Grade 12,41
