School,Year,Level,Size
Colonel Gray Family of Schools,Birchwood Intermediate,1999,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 7,139
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 8,155
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 9,164
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,1999,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2000,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 7,142
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 8,135
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 9,156
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2000,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2001,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 7,170
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 8,141
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 9,136
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2001,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2002,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 7,163
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 8,171
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 9,136
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2002,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2003,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 1,0
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 2,0
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 3,0
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 4,0
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 5,0
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 6,0
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 7,135
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 8,162
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 9,163
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 10,0
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 11,0
Colonel Gray Family of Schools,Birchwood Intermediate,2003,Grade 12,0
Colonel Gray Family of Schools,Birchwood Intermediate,2004,K,0
Colonel Gray Family of Schools,Birchwood Intermediate,2004,Grade 1,0
